Model,Precision@K,Recall@K,NDCG@K,MRR,Hit Rate@K,Coverage,Diversity,Novelty,Popularity Bias,Serendipity,Training Time (s)
Random,0.001335559265442404,0.0011908388995200347,0.0012139369112320027,0.0021629965286058777,0.01335559265442404,0.4506375976964212,0.8045195175318768,7.538903368109486,0.09315525876460767,0.0005008347245409016,0.0010750293731689453
Most Popular,0.12170283806343908,0.10425122803988854,0.16118004189979554,0.31159074648223223,0.5742904841402338,0.005861785273549979,0.7582602065327715,1.6644383628476078,1.0,0.0,0.004703998565673828
Highest Average,0.04641068447412353,0.03398291029551089,0.06187175697795691,0.15059358189575217,0.3005008347245409,0.0034965034965034965,0.6640253392788433,3.3878112084665744,0.8818030050083475,0.0015025041736227047,0.010380983352661133
Content-Based,0.00934891485809683,0.00861289468577249,0.01103359794033325,0.02486882900071548,0.09015025041736227,0.20588235294117646,0.08757628474980482,6.801917028375251,0.18564273789649416,0.003171953255425709,0.0454249382019043
CB + Tags,0.008347245409015025,0.007704932185905386,0.009825597790505953,0.023830060683149166,0.07512520868113523,0.21215549156725627,0.1860990470726182,7.122298236391325,0.15709515859766277,0.002671118530884808,0.3542299270629883
Item-Item CF,0.0001669449081803005,9.820288716488265e-05,0.00015824434786235525,0.00041736227045075126,0.001669449081803005,0.049773755656108594,0.771875352883462,9.197419463056276,0.0,0.0001669449081803005,4.841005802154541
Matrix Fact.,0.05258764607679466,0.03679541433463515,0.06333473979531115,0.13849140101226914,0.32387312186978295,0.023961332784862198,0.7732771702257089,3.2708827402655287,0.8617696160267113,0.0008347245409015025,20.14025115966797
